article_title,article_slug,article_url,image_order,image_url,decision,decision_reason,confidence,local_sample_path,weavy_title,weavy_context,notes
Гид по выбору кондиционера для дома,gid-po-vyboru-kondicionera-dlya-doma,https://www.kuvalda.ru/blog/articles/polz/gid-po-viboru-kondicionera-dlya-doma.html,1,https://cdn.kuvalda.ru/data/file/content/e8/c7/8d/e8c78d611c91456607d2d57e101a312a.jpg,include,"Общее небрендовое фото, похоже на сток/illustrative hero image.",medium,sample_selected_images/gid-po-vyboru-kondicionera-dlya-doma/001_e8c78d611c91456607d2d57e101a312a.jpg,Гид по выбору кондиционера для дома,"Статья объясняет, как выбрать кондиционер для квартиры или частного дома, какие бывают типы оборудования, как связаны мощность и площадь, и что учитывать перед установкой.",Скачивать для замены
Гид по выбору кондиционера для дома,gid-po-vyboru-kondicionera-dlya-doma,https://www.kuvalda.ru/blog/articles/polz/gid-po-vyboru-kondicionera-dlya-doma.html,2,https://cdn.kuvalda.ru/data/file/content/69/1c/e2/691ce281988921d6a801dd23d11c4b9c.jpg,include,Общее небрендовое фото.,medium,sample_selected_images/gid-po-vyboru-kondicionera-dlya-doma/002_691ce281988921d6a801dd23d11c4b9c.jpg,Гид по выбору кондиционера для дома,"Статья объясняет, как выбрать кондиционер для квартиры или частного дома, какие бывают типы оборудования, как связаны мощность и площадь, и что учитывать перед установкой.",Скачивать для замены
Гид по выбору кондиционера для дома,gid-po-vyboru-kondicionera-dlya-doma,https://www.kuvalda.ru/blog/articles/polz/gid-po-vyboru-kondicionera-dlya-doma.html,3,https://cdn.kuvalda.ru/data/file/content/ee/f3/c4/eef3c42a00c245275cdd3b10d7dfe581.jpg,include,Общее небрендовое фото.,medium,sample_selected_images/gid-po-vyboru-kondicionera-dlya-doma/003_eef3c42a00c245275cdd3b10d7dfe581.jpg,Гид по выбору кондиционера для дома,"Статья объясняет, как выбрать кондиционер для квартиры или частного дома, какие бывают типы оборудования, как связаны мощность и площадь, и что учитывать перед установкой.",Скачивать для замены
Гид по выбору кондиционера для дома,gid-po-vyboru-kondicionera-dlya-doma,https://www.kuvalda.ru/blog/articles/polz/gid-po-vyboru-kondicionera-dlya-doma.html,4,https://cdn.kuvalda.ru/data/file/content/52/b9/89/52b989234bc67d0f1ddfe1a939760457.jpg,skip,Схема/таблица/много текста; плохо подходит для генеративной замены.,high,,Гид по выбору кондиционера для дома,"Статья объясняет, как выбрать кондиционер для квартиры или частного дома, какие бывают типы оборудования, как связаны мощность и площадь, и что учитывать перед установкой.",Не скачивать в рабочий пакет
Гид по выбору кондиционера для дома,gid-po-vyboru-kondicionera-dlya-doma,https://www.kuvalda.ru/blog/articles/polz/gid-po-vyboru-kondicionera-dlya-doma.html,5,https://cdn.kuvalda.ru/data/file/content/11/da/e2/11dae2c770d6c448bf9fe5182e6c4945.jpg,skip,Иллюстрация/инфографика с текстом.,high,,Гид по выбору кондиционера для дома,"Статья объясняет, как выбрать кондиционер для квартиры или частного дома, какие бывают типы оборудования, как связаны мощность и площадь, и что учитывать перед установкой.",Не скачивать в рабочий пакет
Гид по выбору кондиционера для дома,gid-po-vyboru-kondicionera-dlya-doma,https://www.kuvalda.ru/blog/articles/polz/gid-po-vyboru-kondicionera-dlya-doma.html,6,https://cdn.kuvalda.ru/data/file/content/3e/ee/42/3eee42245ad35cad9677d35a961a5243-1.jpg,include,"Общее фото, похоже на сток.",medium,sample_selected_images/gid-po-vyboru-kondicionera-dlya-doma/004_3eee42245ad35cad9677d35a961a5243-1.jpg,Гид по выбору кондиционера для дома,"Статья объясняет, как выбрать кондиционер для квартиры или частного дома, какие бывают типы оборудования, как связаны мощность и площадь, и что учитывать перед установкой.",Скачивать для замены
Преимущества мотоблоков Patriot Калуга/Калуга М — сравниваем с конкурентом,preimushestva-motoblokov-patriot-kaluga-kaluga-m-sravnivaem-s-konkurentom,https://www.kuvalda.ru/blog/articles/polz/preimushestva-motoblokov-patriot-kaluga-kaluga-m-sravnivaem-s-konkurentom.html,1,https://cdn.kuvalda.ru/data/file/content/89/9d/f6/899df6ec9093b5bfa93026f95c4d13fe.jpg,skip,Текст поверх изображения.,high,,Преимущества мотоблоков Patriot Калуга/Калуга М — сравниваем с конкурентом,"Служит примером статьи, где встречаются изображения с большим количеством текста поверх; такие файлы обычно не подходят для генеративной замены.",Показательный skip-кейс
Преимущества мотоблоков Patriot Калуга/Калуга М — сравниваем с конкурентом,preimushestva-motoblokov-patriot-kaluga-kaluga-m-sravnivaem-s-konkurentom,https://www.kuvalda.ru/blog/articles/polz/preimushestva-motoblokov-patriot-kaluga-kaluga-m-sravnivaem-s-konkurentom.html,2,https://cdn.kuvalda.ru/data/file/content/65/97/34/659734c7942469426bc34a3ee2aa4bfc.jpg,skip,Текст поверх изображения.,high,,Преимущества мотоблоков Patriot Калуга/Калуга М — сравниваем с конкурентом,"Служит примером статьи, где встречаются изображения с большим количеством текста поверх; такие файлы обычно не подходят для генеративной замены.",Показательный skip-кейс
Как сварщик покорил остров миллиардеров,kak-svarshchik-pokoril-ostrov-milliarderov,https://www.kuvalda.ru/blog/articles/raznoe/kak-svarshchik-pokoril-ostrov-milliarderov.html,1,https://cdn.kuvalda.ru/data/file/content/f1/3a/70/f13a7021bedd1196fa9e9cbc2a8286a5.jpg,review,"Похоже на нейтральный пейзаж/иллюстрацию; статья авторская, но это изображение выглядит сомнительным и требует проверки.",low,sample_selected_images/kak-svarshchik-pokoril-ostrov-milliarderov/001_f13a7021bedd1196fa9e9cbc2a8286a5.jpg,Как сварщик покорил остров миллиардеров,"Сюжетная статья про конкретного мастера и его работы. Основная масса фотографий — это смысловые работы автора и их обычно не надо менять, но отдельные нейтральные иллюстрации/пейзажи могут попадать в review/include.","Скачивать, потому что сомнительно"
Как спилили главную ель страны,kak-spilili-glavnuyu-el-strany,https://www.kuvalda.ru/blog/articles/raznoe/kak-spilili-glavnuyu-el-strany.html,1,https://cdn.kuvalda.ru/data/file/content/94/45/55/9445552191da5b0819179d4acf4ab76f.jpg,include,Общее фото ели.,medium,sample_selected_images/kak-spilili-glavnuyu-el-strany/001_9445552191da5b0819179d4acf4ab76f.jpg,Как спилили главную ель страны,"Статья о том, как специалисты Husqvarna спилили главную кремлевскую ель. Внутри встречаются и общие иллюстрации, и брендовые снимки с инструментом.",Скачивать для замены
Как спилили главную ель страны,kak-spilili-glavnuyu-el-strany,https://www.kuvalda.ru/blog/articles/raznoe/kak-spilili-glavnuyu-el-strany.html,2,https://cdn.kuvalda.ru/data/file/content/4e/7f/1a/4e7f1a3e25a4173f47cd8537c56da9e8.jpg,review,"Люди/сервисная сцена; неочевидно, можно ли заменять. По правилу сомнений — скачивать и проверить.",low,sample_selected_images/kak-spilili-glavnuyu-el-strany/002_4e7f1a3e25a4173f47cd8537c56da9e8.jpg,Как спилили главную ель страны,"Статья о том, как специалисты Husqvarna спилили главную кремлевскую ель. Внутри встречаются и общие иллюстрации, и брендовые снимки с инструментом.",Скачивать как review
Как спилили главную ель страны,kak-spilili-glavnuyu-el-strany,https://www.kuvalda.ru/blog/articles/raznoe/kak-spilili-glavnuyu-el-strany.html,3,https://cdn.kuvalda.ru/data/file/content/e2/a7/5d/e2a75dfdd04246666d085668211d5309.jpg,include,"Общее фото среза дерева, без явного бренда.",medium,sample_selected_images/kak-spilili-glavnuyu-el-strany/003_e2a75dfdd04246666d085668211d5309.jpg,Как спилили главную ель страны,"Статья о том, как специалисты Husqvarna спилили главную кремлевскую ель. Внутри встречаются и общие иллюстрации, и брендовые снимки с инструментом.",Скачивать для замены
Как спилили главную ель страны,kak-spilili-glavnuyu-el-strany,https://www.kuvalda.ru/blog/articles/raznoe/kak-spilili-glavnuyu-el-strany.html,4,https://cdn.kuvalda.ru/data/file/content/f5/57/b9/f557b9c7a4587bdedd89f4aa8e85ca64.jpg,skip,Явная брендовая/поставщицкая фотография.,high,,Как спилили главную ель страны,"Статья о том, как специалисты Husqvarna спилили главную кремлевскую ель. Внутри встречаются и общие иллюстрации, и брендовые снимки с инструментом.",Не скачивать
Как спилили главную ель страны,kak-spilili-glavnuyu-el-strany,https://www.kuvalda.ru/blog/articles/raznoe/kak-spilili-glavnuyu-el-strany.html,5,https://cdn.kuvalda.ru/data/file/content/dd/d0/b0/ddd0b08ab0f84f1d8450997a16e0e615.jpg,review,Есть люди и возможно брендовые элементы; автоматом лучше скачать на проверку.,low,sample_selected_images/kak-spilili-glavnuyu-el-strany/004_ddd0b08ab0f84f1d8450997a16e0e615.jpg,Как спилили главную ель страны,"Статья о том, как специалисты Husqvarna спилили главную кремлевскую ель. Внутри встречаются и общие иллюстрации, и брендовые снимки с инструментом.",Скачивать как review
Как спилили главную ель страны,kak-spilili-glavnuyu-el-strany,https://www.kuvalda.ru/blog/articles/raznoe/kak-spilili-glavnuyu-el-strany.html,6,https://cdn.kuvalda.ru/data/file/content/8e/dd/c8/8eddc8baadd60896c9e3e2622b2f36ed.jpg,skip,Явная брендовая пила / модель Husqvarna.,high,,Как спилили главную ель страны,"Статья о том, как специалисты Husqvarna спилили главную кремлевскую ель. Внутри встречаются и общие иллюстрации, и брендовые снимки с инструментом.",Не скачивать
