Название статьи,Ссылка на статью,Контекст статьи,Статус
Технология поглощения вибрации AVT,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-poglosheniya-vibracii-avt.html,"Антивибрационная технология MAKITA Технология поглощения вибраций представляет собой многоуровневую систему защиты пользователя от вредного воздействия работающего инструмента. Основа AVT-технологии — это антисейсмические разработки, которые часто используют при строительстве сооружений. Технология поглощения вибраций представляет собой многоуровневую систему защиты пользователя от вредного воздействия работающего инструмента. Основа AVT-технологии — это антисейсмические разработки, которые часто используют при строительстве сооружений. Независимый от двигателя и ударного механизма вибропоглощающий корпус с подпружиненной ручкой; Система противовесов, компенсирующих энергию удара; Демпферная пружина, поглощающая энергию удара. Независимый от двигателя и ударного механизма вибропоглощающий корпус; Антивибрационная рукоятка для погашения вибрации.",ok
Технология контроля крутящего момента ADT,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-kontrolya-krutyashego-momenta-adt.html,"Технология изменения скорости реза и крутящего момента в зависимости от нагрузки Технология ADT регулирует скорость и крутящий момент для оптимальной производительности даже в самых требовательных ситуациях. Во время работы, если инструмент находится под большой нагрузкой, технология ADT обнаруживает добавленную потребность и применяет больший крутящий момент и скорость для завершения работы. Технология ADT регулирует скорость и крутящий момент для оптимальной производительности даже в самых требовательных ситуациях. Во время работы, если инструмент находится под большой нагрузкой, технология ADT обнаруживает добавленную потребность и применяет больший крутящий момент и скорость для завершения работы. График работы технология ADT при низкой и высокой нагрузке",ok
Технология контролирующая обороты двигателя под разной нагрузкой SOFT NO LOAD,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-kontroliruyushaya-oboroty-dvigatelya-pod-raznoj-nagruzkoj-soft-no-load.html,"Снижение оборотов при низкой нагрузке и увеличение скорости работы двигателя под нагрузкой SOFT NO LOAD уменьшает вибрацию корпуса инструмента при работе на холостом ходу, тем самым уменьшая вибрационную нагрузку на руки оператора в течение рабочего дня и сводя к минимуму отклонение наконечника бура при засверливании. SOFT NO LOAD уменьшает вибрацию корпуса инструмента при работе на холостом ходу, тем самым уменьшая вибрационную нагрузку на руки оператора в течение рабочего дня и сводя к минимуму отклонение наконечника бура при засверливании. График работы SOFT NO LOAD на холостом ходу и под нагрузкой Технология контролирующая обороты двигателя под разной нагрузкой SOFT NO LOAD",ok
Технология активной защиты от рывков AFT,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-aktivnoj-zashity-ot-ryvkov-aft.html,"Активная защита от рывков MAKITA Система автоматического отключения инструмента (УШМ, триммеров, кос, перфораторов, пил) в случае самостоятельного замедления или остановки рабочего элемента, что обеспечивает безопасность пользователя. Система автоматического отключения инструмента (УШМ, триммеров, кос, перфораторов, пил) в случае самостоятельного замедления или остановки рабочего элемента, что обеспечивает безопасность пользователя. Технология защиты пользователя от рывков при заклинивании инструментов Система останавливает двигатель инструмента при внезапном падении скорости вращения. AFT предохраняет инструмент, но не предотвращает закусывание или отскакивание. Система останавливает двигатель инструмента при внезапном падении скорости вращения. AFT предохраняет инструмент, но не предотвращает закусывание или отскакивание.",ok
Технология защиты от пыли и влаги XPT,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-zashity-ot-pyli-i-vlagi-xpt.html,"Экстремальная защита от пыли и влаги Технология сверхнадежной защиты XPT создаёт дополнительную защиту инструмента от пыли и воды. Она разработана специально для деятельности на открытом воздухе или в неблагоприятных условиях. Особая конструкция препятствует попаданию пыли и воды в инструмент. Если вода все-таки попадёт, резиновые уплотнения блокируют дальнейшее проникновение капель внутрь. Оставшаяся влага выводится наружу. Технология сверхнадежной защиты XPT создаёт дополнительную защиту инструмента от пыли и воды. Она разработана специально для деятельности на открытом воздухе или в неблагоприятных условиях. Особая конструкция препятствует попаданию пыли и воды в инструмент. Если вода все-таки попадёт, резиновые уплотнения блокируют дальнейшее проникновение капель внутрь. Оставшаяся влага выводится наружу.",ok
Технология бесщеточного электродвигателя BL-Motor,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-besshetochnogo-elektrodvigatelya-bl-motor.html,"Бесщеточный двигатель MAKITA Технология BL–Motor в бесщеточных двигателях обеспечивает высокую производительность, увеличенную мощность и длительный срок службы. Бесщеточный двигатель с электронным управлением эффективно использует энергию аккумулятора, имеет более высокие технические характеристики и применим в разных областях. Технология BL–Motor в бесщеточных двигателях обеспечивает высокую производительность, увеличенную мощность и длительный срок службы. Бесщеточный двигатель с электронным управлением эффективно использует энергию аккумулятора, имеет более высокие технические характеристики и применим в разных областях. Перемещение обмотки бесщеточного двигателя осуществляется на статор, магнитов же — на ротор. Заменой коллекторно-щёточного узла, который отвечает за изменение параметров (коммутацию) обмоток, в таком моторе стала электроника. Датчики устанавливаются на ротор, отслеживая его положение. На основании полученных таким образом данных контроллером осуществляется подача напряжения на ту обмотку, которая нужна в конкретный момент времени. В результате этого поля изменяются, и происходит вращение. Благодаря тому, что у бесщёточных двигателей нет щеточно-коллекторного узла, он не издаёт шума, не искрит, имеет достаточно высокий коэффициент полезного действия, а также не требует периодической замены и регулярного обслуживания.",ok
Технология беспроводного автозапуска пылесоса AWS™,https://www.kuvalda.ru/blog/articles/polz/tehnologiya-besprovodnogo-avtozapuska-pylesosa-aws-tm.html,"Беспроводная система автозапуска MAKITA Беспроводная система автозапуска MAKITA AWS™ использует технологию Bluetooth™ для беспроводного включения и выключения связи между оборудованным инструментом и пылесосом. Беспроводная система автозапуска MAKITA AWS™ использует технологию Bluetooth™ для беспроводного включения и выключения связи между оборудованным инструментом и пылесосом. Удобство и безопасность при работе инструментом с MAKITA AWS™ Полностью беспроводная работа снижает риск споткнуться о провода, что повышает безопасность и удобство работы на рабочем месте. Полностью беспроводная работа снижает риск споткнуться о провода, что повышает безопасность и удобство работы на рабочем месте. WUT02Z (арт.: 199744-8) WUT02U (арт.: 199776-5) в комплекте с WUT01 Инструмент LXT с системой MAKITA AWS™ Инструменты платформы LXT 18 В с системой AWS могут использоваться в основных сферах деятельности (как профессионалами так и любителями). Основная задача — отсутствие пыли. Система AWS устанавливается на инструменты работающие как на 1 аккумуляторе 18 В, так и на 2 шт. x 18 В (36 В), что продлевает время работы таким инструментом и увеличивает ключевые параметры инструмента. Инструменты платформы LXT 18 В с системой AWS могут использоваться в основных сферах деятельности (как профессионалами так и любителями). Основная задача — отсутствие пыли.",ok
Новинки ДЖИЛЕКС: ЦИРКУЛЬ PREMIUM,https://www.kuvalda.ru/blog/articles/newinstr/novinki-dzhileks-cirkul-premium-.html,"Компания ДЖИЛЕКС представила новую серию циркуляционных насосов ЦИРКУЛЬ PREMIUM . Линейка включает 6 моделей с проходным диаметром трубопровода 25 и 32 мм и максимальным напором от 4 до 8 м. Насос используются в закрытых и открытых системах отопления для принудительной циркуляции теплоносителя. Модели отличаются более качественной сборкой и технологией производства, низким % брака. В обмотке электродвигателя содержится больше меди и высококачественной пропитки компаундом, благодаря чему насос дольше и надежнее служит. Максимальный расход воды от 55 до 110 л/мин. Уровень шума < 45 дБ – малошумный насос. При использовании низкозамерзающих жидкостей на основе пропиленгликоля, этиленгликоля, глицерина - температурный диапазон составляет от -10 до +110 °С. Установочный размер между присоединительными фланцами составляет 180 мм.",ok
FUBAG FLA 4240 SM самая доступная самоходная аккумуляторная косилка,https://www.kuvalda.ru/blog/articles/newinstr/fubag-fla-4240-sm-samaya-dostupnaya-samohodnaya-akkumulyatornaya-kosilka.html,"Самоходная косилка значительно облегчает и ускоряет кошение травы как на больших, так и на самых маленьких участках. До недавнего времени самоходными были только бензиновые косилки, но наконец-то в продаже начали появляться самоходные аккумуляторные косилки. Алексей Надёжин изучил самую доступную на сегодня аккумуляторную ""самоходку"" и делится с нами своими впечатлениями. Благодаря компании Кувалда.ру на даче у моей мамы оказалась косилка FUBAG FLA 4240 SM , обладающая следующими характеристиками: Высота скашивания: 25-75 мм (6 уровней); Режимы кошения: сбор травы в травосборник (45 литров), мульчирование, выброс назад; Перемещение: ручное или автоматическое (3.6 км/час); В комплекте: аккумулятор 40V 4Ah, зарядное устройство 2A; Время работы от аккумулятора: до 33 минут; Вес с аккумулятором: 20 кг, с травосборником 21.4 кг (на сайте производителя и во всех магазинах указан вес 26 кг, но фактически он меньше - я взвесил). Создатели этой косилки не стали ""изобретать велосипед"", просто взяв обычную бензиновую самоходную косилку и заменив двигатель на электрический. Вся электрическая часть расположена в ""голове"". Под крышкой двойной отсек для аккумулятора (в правом можно просто хранить запасной аккумулятор, он ""достался"" этой косилке от старшей модели, где работают два аккумулятора). Над аккумулятором ключ, отключающий питание. Корпус стальной, нож 42 см, привод колёс точно такой же, как у бензиновой косилки - ремень от основного вала и редуктор с управляемым сцеплением. Ручка регулировки высоты покоса с шестью положениями.",ok
Как сварщик покорил остров миллиардеров,https://www.kuvalda.ru/blog/articles/raznoe/Kak-svarshchik-pokoril-ostrov-milliarderov.html,"Остров Сен-Бертелеми не просто так называют карибским Куршевелем : на его райских пляжах отдыхает мировая элита. Сюда съезжаются поп-звезды и воротилы бизнеса, такие как Джефф Безос и Роман Абрамович . Здесь обосновался и работает уже 10 лет скромный, по местным меркам, сварщик Жан Мартин (Jean Martin) . Но не стоит думать, что француз в этом пристанище милиардеров варит навесы, заборы и прочие металлоконструкции. Жан Мартин трудится над неординарными статуями, повторяющими очертания людей, фигурами животных и всевозможных морских обитателей. Однако свою известность он получил благодаря стальным силуэтам в невероятно естественных позах, например, сидящих возле бассейна или практикующих асаны из йоги. Чтобы его творения могли годами противостоять дождям, ветрам и прочим особенностям морской стихии, мастер в качестве основного материала использует гайку из нержавеющей стали. Свой труд Жан Мартин без ложной скромности именует произведениями современного искусства. Безмолвных стальных особ можно встретить на роскошных виллах острова Сан-Бертелеми , а также в 5-звездочных отелях в других странах и городах: Франции и Соединенных Штатах , в Буэнос-Айресе , Женеве , Тель-Авиве . Свои скульптуры Жан Мартин делит на два основных типа: изделия с ограниченным тиражом — от 5 до 8 штук и уникальные заказные произведения.",ok
